X Field,X軸欄位
Update Record,更新單據
Updated row for {0},更新單據{0}
Update Response,更新響應
Updating Variants...,更新多規格物料......
Update Field,更新欄位
Update Property,更新屬性
Update Stock,更新庫存
Update Current Stock,更新當前庫存
Successfully Updated,更新成功
Updated successfully,更新成功
Update Cost,更新成本
Update Cost Center Number,更新成本中心號
Update latest price in all BOMs,更新所有BOM的最新價格
Update Print Format,更新列印格式
Update Schedule,更新時間排程
Update Clearance Date,更新清帳日期
Update Rate and Availability,更新物料成本價和可用數量
Update Items,訂單變更
Update Existing Records,更新現有記錄
Update Email Group,更新電子郵件組
Update Account Number / Name,更新科目代碼/名稱
Update Account Name / Number,更新科目名稱/代碼
Update Series,更新單據號模板
Update Series Number,更新單據號模板
Update Translations,更新翻譯
Update Auto Repeat Reference,更新自動重複參考
Update records,更新紀錄
An error occurred during the update process,更新過程中發生錯誤
Update Bank Transaction Dates,更新銀行交易流水日期
Update Bank Clearance Dates,更新銀行清帳日期
Update Billed Amount in Sales Order,更新銷售訂單已開票金額
Updating estimated arrival times.,更新預計到達時間。
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,更高級權限是欄位級權限。可以為每個欄位設定所需的權限等級，特定的角色被分配對應的權限等級，據此就可以用不同的角色限制不同的用戶有不同的欄位訪問權限。
Manipur,曼尼普爾邦
Served,曾任
Alternate Item,替代物料
Item Alternative,替代物料
Alternative item must not be same as item code,替代物料不能與原物料號相同
Alternative Item Name,替代物料名稱
Alternative Item Code,替代物料號
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM.It also updates latest price in all the BOMs.",替換使用所有其他BOM的特定BOM。它將替換舊的BOM連結，更新成本，並按照新的BOM重新生成“物料清單底層物料”表。它還更新了所有BOM中的最新價格。
Top Bar Text Color,最上面一欄文字顏色
Min Grade,最低分
Minimum Password Score,最低密碼分數
Minimum Age,最低年齡
Minimum Total Spent,最低消費金額
Minimum Lead Age (Days),最低線索時長 天）
Last Issue,最後一期
Days Since Last Order,最後一次下單至今天數
Last carbon check date cannot be a future date,最後一次尾氣檢查日期不能是未來的日期
Last Point Allocation Date,最後一次能量點分派日期
One Last Step,最後一步
Last,最後一頁
Last Order Date,最後下單日期
Last Refreshed,最後刷新
Last refreshed,最後刷新
Last Synced On,最後同步
Last Completion Date,最後完成日期
Last Known Versions,最後已知版本
Last Updated By,最後更新人
Last Updated On,最後更新日期
Last Communication,最後溝通
Last Active,最後活動
Last User,最後用戶
Last Login,最後登錄
Last IP,最後登錄IP
Last Message,最後的消息
Last Order Amount,最後訂單金額
Last Communication Date,最後通訊日期
Max Attempts,最多嘗試次數
Max Value,最大值
Max: {0},最大值：{0}
Maximum Permissible Value,最大允許值
Encashment Threshold Days,最大允許折現天數
Max Strength,最大允許數量
Overproduction Percentage For Work Order,工單超量入庫百分比
Maximum Invoice Amount,最大發票金額
Maximum Age,最大年齡
Minumum Age(DOB),最大年齡
Max Taxable Income,最大應稅收入
Max Discount (%),最大折扣(%)
Max Qty,最大數量
Max Sample Quantity,最大樣品量
Max benefits should be greater than zero to dispense benefits,最大的好處應該大於零來分配好處
Max Benefit Amount,最大福利金額
Max Benefit Amount (Yearly),最大福利金額（每年）
Max Benefits (Yearly),最大福利金額（每年）
Max Benefits (Amount),最大福利（金額）
Maximum Assessment Score,最大考核評分
Max number of visit,最大訪問次數
Max Retry Limit,最大重試限制
Max Amount,最大金額
Max Amount Eligible,最大金額
Max Amt,最大金額
Max Attachments,最大附件數量
Max Attachment Size (in MB),最大附件大小（MB）
Better add a few more letters or another word,最好加幾個字母或一個字
Minimum Permissible Value,最小允許值
Minimum Invoice Amount,最小發票金額
Maximum Age(DOB),最小年齡
Min Taxable Income,最小應稅收入
Min Qty,最小數量
Minimum Qty ,最小數量
Min Qty can not be greater than Max Qty,最小數量不能大於最大數量
Min Doc Count,最小單據計數
Minimum Seating,最少座位
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,最小貨幣(分數)單位（硬幣）。如最小貨幣是分，這裡就輸入0.01
Smallest Currency Fraction Value,最小貨幣分數值
1 Currency = [?] Fraction For e.g. 1 USD = 100 Cent,1 貨幣單位 = [?] 小數 例如. 1 元 = 100 分
Min Order Qty,最小訂貨量
Minimum Order Qty,最小起訂量
Minimum Order Quantity,最小起訂量
Min Amount,最小金額
Min Amt,最小金額
There should remain at least one System Manager,最少應保留一個系統管理員
Most Used,最常用
Latest,最新
Latest price updated in all BOMs,最新價格在所有BOM中更新
Last Purchase Rate,最新採購價
last purchase rate,最新採購價
Earliest,最早
Final Assessment Grades,最終評估等級
Recents,最近
Last Activity ,最近一次訪問記錄
Last Integration Date,最近同步日期
"Too many users signed up recently, so the registration is disabled. Please try back in an hour",最近有太多用戶註冊，導致註冊功能被自動臨時禁用了，請一個小時後重試。
Max Length,最長長度
Top {0},最高{0}
Maximum Exempted Amount,最高免稅金額
Max Exemption Amount,最高免稅額
Maximum Exemption Amount,最高免稅額
Max Grade,最高分
Max Score,最高分數
Tax Category for overriding tax rates.,最高稅率的稅收類別。
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},最高豁免金額不得超過免稅類別{1}的最高豁免金額{0}
Maximum Loan Amount,最高借款額度
Month,月
month,月
mm-dd-yyyy,月-日-年
mm/dd/yyyy,月/日/年
Monthly Distribution,每月分攤比例模板
Name of the Monthly Distribution,每月分攤比例模板名稱
Monthly Distribution Percentage,每月分攤比例
Monthly Distribution Percentages,每月分攤比例
Has Web View,有Web視圖
There is some problem with the file url: {0},有一些問題與文件的URL：{0}
Warehouses with child nodes cannot be converted to ledger,有下級子節點倉庫的倉庫不能轉換為記帳倉庫
Account with child nodes cannot be converted to ledger,有下級科目(子節點)的科目不能轉換為記帳科目
Some emails are invalid,有些電子郵件無效
Cost Center with existing transactions can not be converted to group,有交易的成本中心不能轉化為組
Account with existing transaction can not be deleted,有交易的科目不能被刪除
Account with existing transaction can not be converted to group.,有交易的科目不能被轉換為組。
Has any past Grant Record,有以前的獲批記錄嗎？
Set,有值,Field value is set
Not Set,空值
Please check the error log for details about the import errors,有關匯入錯誤的詳細資訊，請查看錯誤日誌
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","有關幫助，請參閱<a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">用戶端腳本API和範例</a>"
Additional information regarding the patient,有關患者的其他資訊
"For more information, <a class=""text-muted"" href=""https://erpnext.com/docs/user/manual/en/setting-up/email/linking-emails-to-document"">click here</a>.","有關更多資訊， <a class=""text-muted"" href=""https://erpnext.com/docs/user/manual/en/setting-up/email/linking-emails-to-document"">請單擊此處</a> 。"
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,有關詳細資訊，請參閱https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region。
Interested,有興趣
Has Domain,有域名
Multiple Loyalty Program found for the Customer. Please select manually.,有多個適用該客戶的積分方案。請手動選擇一個。
Has Variants,有多種規格
Stock cannot exist for Item {0} since has variants,有多種規格的模板物料{0}不能有庫存
Account with child nodes cannot be set as ledger,有子節點的科目不能被設定為記帳科目
With Operations,有工藝路線
Has Serial No,啟用序號管理
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry",啟用序號管理的物料{0}無法使用庫存調帳功能更新，請使用物料移動功能
Has Open Entries,有待處理單據
Has Print Format,有列印格式
Has Batch No,啟用批號管理
Prospects Engaged But Not Converted,有收發郵件但未轉化線索
Valid,有效
Valid number of days,有效天數
Validity in Days,有效天數
Valid From Date must be lesser than Valid Upto Date.,有效開始日期必須小於有效開始日期。
Validity,有效性
Valid To,有效期截止
Valid till date cannot be before transaction date,有效期結束日不得早於交易日
Valid From,有效期自
Valid Till,有效期至
Valid Upto,有效期至
Availed ITC Central Tax,有效的ITC中央稅收
Availed ITC State/UT Tax,有效的ITC州/ UT稅
Availed ITC Integrated Tax,有效的ITC綜合稅收
New updates are available,有新的更新
With Items,有物料
In Stock: ,有現貨
Item variant {0} exists with same attributes,有相同屬性的多規格物料{0}已存在
There must be atleast one permission rule.,有至少要包含一個權限規則。
With Letter head,有列印表頭
Has Role,有角色
Has Certificate,有證書
Have an account? Login,有帳戶？登錄
In stock,有貨
Has Expiry Date,啟用失效日期管理
Duplicate Entry. Please check Authorization Rule {0},有重複記錄，請檢查授權規則{0}
There were errors. Please report this.,有錯誤。請聯絡開發人員。
There were errors,有錯誤發生
There were errors.,有錯誤發生。
Has  Attachment,有附件
Has Attachments,有附件
Service,服務
Services,服務
Service Stop Date cannot be after Service End Date,服務停止日不能晚於服務結束日
Service Stop Date,服務停止日期
Service Stop Date cannot be before Service Start Date,服務停止日期不能早於服務開始日期
Service Unit,服務單位
Service Unit Type,服務單位類型
Server,伺服器
Server IP,伺服器IP
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.",伺服器的GoCardless配置似乎存在問題。別擔心，如果失敗，這筆款項將退還給您的科目。
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.",伺服器的braintree配置似乎有問題。別擔心，如果失敗，這筆款項將退還給您的帳戶。
Path to Server Certificate,伺服器證書的路徑
Server Error,伺服器錯誤
Server Error: Please check your server logs or contact tech support.,伺服器錯誤：請檢查伺服器日誌或聯繫技術支援。
Service Address,服務地址
Service Start Date,服務開始日期
Service Day,服務日
Service Level,服務水平
Service Level.,服務水平。
Service Level Priority,服務水平優先度
Service Level Agreement,服務水平協議
Service Level Agreement.,服務水平協議。
Service Level Agreement Creation,服務水平協議創建
Service Level Agreement has been changed to {0}.,服務水平協議已更改為{0}。
Service Level Agreement Reset.,服務水平協議重設。
Service Level Agreements,服務等級協定
Service Detail,服務細節
Service Details,服務細節
Service End Date,服務結束日期
Service Expense,服務費用
Service Item,服務物料
"Service Item,Type,frequency and expense amount are required",服務項目，類型，頻率和消費金額都是必填欄位
Apparel & Accessories,服裝及配飾
Opening,期初
Opening Balance,期初餘額
Opening Balances,期初餘額
Opening Stock,期初庫存
Opening Stock Balance,期初庫存餘額
Opening Qty,期初數量
Opening Value,期初金額
Opening (Dr),期初（借方）
Opening (Cr),期初（貸方 ）
Closing (Dr),期末(借方)
Closing (Cr),期末(貸方)
Closing Balance,期末餘額
Period Closing Entry,期末結帳憑證
Period Closing Voucher,期末結帳憑證
Period End Date,期末結束日期
Closing (Opening + Total),期末（期初+總計）
Duplicate Tax Declaration of {0} for period {1},期間{1}的重複稅務申報{0}
Total allocated leaves {0} cannot be less than already approved leaves {1} for the period,期間內總分配休假{0}不能小於已經批准休假{1}
Period Name,期間名稱
Period Start Date,期間開始日期
Period Score,本期得分
Depreciation Amount during the period,期間折舊額
Period Settings,期間設定
PERIOD SETTINGS,期間設定
Outstanding,未付
Unpaid,未付
Outstanding for {0} cannot be less than zero ({1}),未付{0}不能小於零（ {1} ）
Unpaid and Discounted,已貼現未付
Not Paid and Not Delivered,未付款，未出貨
Unpaid Expense Claim,未付費用報銷
Outstanding Amount,未付金額
Outstanding Amt,未付金額
outstanding_amount,未付金額
Unused leaves,未使用的休假
Unclosed Fiscal Years Profit / Loss (Credit),未關閉的財年利潤/損失
Not Delivered,未出貨
No Email Accounts Assigned,未分派電子信箱帳號
Salary Structure Missing,未分配薪資結構
Unallocated Amount,未分配金額
No Student Groups created.,未創建班級。
Not Published,未發布
Not Sent,未發送
Did not cancel,未取消
Service Level Agreement tracking is not enabled.,未啟用服務水平協議跟蹤。
Not in Developer Mode,未在開發模式下
Unhandled Email,未處理的郵件
Open Notifications,未處理通知
Open Issues,未處理問題
Undeposited Funds Account,未存入資金帳戶
App {0} is not installed,未安裝應用程式{0}
UOM Conversion factor ({0} -&gt; {1}) not found for item: {2},未定義物料的單位轉換係數（{0}  - &gt; {1}）：{2}
Unrealized Exchange Gain/Loss Account,未實現匯兌損益科目
Unfulfilled,未履行
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,未開啟開發模式！請在site_config.json中設定或創建一個自訂單據類型
Not Started,未開始
Open Work Orders,未開始生產工單
Open Orders,未開始訂單
Not Billed,未開票
Reason for losing,未成交原因
Not Found,未找到
Not found,未找到
No outstanding invoices found for the {0} <b>{1}</b>.,未找到{0} <b>{1}的</b>未關閉訂單或發票。
Salary Structure not found for employee {0} and date {1},未找到{1}日有效的員工{0}薪資結構
No employee found,未找到任何員工
No items found.,未找到任何項目。
No leave record found for employee {0} for {1},未找到員工{0}的休假記錄{1}
Not items found,未找到物料
No active BOM found for item {0}. Delivery by \						Serial No cannot be ensured,未找到物料{0}的有效BOM。無法確保按序號出貨
Unable to find Salary Component {0},未找到薪資構成項{0}
No record found,未找到記錄
No Permissions Specified,未指定權限
Support Email Address Not Specified,未指定的售後支持電子信箱
Purchase Order Items not received on time,未按時收貨採購訂單物料
Quality Inspection: {0} is not submitted for the item: {1} in row {2},未提交第{2}行中物料{1}的質檢單{0}
No description given,未提供描述
Not Updated,未更新
Future Payment Ref,報表日後付款參考
Future Payment Amount,報表日後付款金額
Future dates not allowed,不允許晚於當前日期
Not Specified,未標明
Not Marked,未標記
Unreconciled,未核銷
Unreconciled Payment Details,未核銷付款資訊
No address added yet.,未新增地址。
Unclaimed amount,未申報金額
Unknown,未知
Unknown Column: {0},未知列： {0}
Unknown Print Format: {0},未知列印格式：{0}
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.",未知文件編碼。已經嘗試使用UTF-8，windows-1250，windows-1252編碼。
Unknown User,未知用戶
Unknown Number,未知電話
Unsigned,未簽
Unverified Webhook Data,未經驗證的Webhook資料
Open Projects,未結案專案
Not Certified,未認證
Not Set,未設定
Password policy for Salary Slips is not set,未設定工資單密碼策略
Unread,未讀
Unread Notification Sent,未讀發送通知
Not Expired,未過期
Free item code is not selected,未選擇免費物料代碼
No document selected,未選擇單據
No Items to pack,未選擇需打包物料
Missing email template for dispatch. Please set one in Delivery Settings.,未配置外發電子郵件模板。請在“出貨設定”中設定。
Not Linked to any record,未連結到任何記錄
Not Seen,未閱
List items that form the package.,本套件內物料列表。
Summary for this week and pending activities,本週和待活動總結
This Week's Summary,本週總結
Locals,本地
Local DocType,本地DocType
Local Primary Key,本地主鍵
Local Fieldname,本地欄位名稱
"LocalStorage is full , did not save",本地儲存已滿，未保存
Pondicherry,本地治裡
"This field will appear only if the fieldname defined here has value OR the rules are true (examples):
myfield
eval:doc.myfield=='My Value'
eval:doc.age&gt;18","本欄位僅在以上代碼框中定義的欄位有值或表達式(js代碼)結果為真時顯示，如案例1：欄位等於指定值；<br>
eval:doc.myfield=='my value'
案例2：年齡大於18 <br>
eval:doc.age&gt;18"
Balance In Base Currency,本幣餘額
New Balance In Base Currency,本幣新餘額
Profit This Year,本年利潤
Annual Billing: {0},本年總帳單金額：{0}
Total Income This Year,本年收入
Total Expense This Year,本年費用
No data for this period,本時間段無資料
There are more holidays than working days this month.,本月假期比工作日多。
Summary for this month and pending activities,本月和待處理事項匯總
This Month's Summary,本月摘要
Under Graduate,本科
No pending or current jobs for this site,本站點無當前或即將處理的後台任務
The system provides many pre-defined roles. You can add new roles to set finer permissions.,本系統提供了許多預定義角色。您可以新增新角色設定更精細的權限。
You have unsaved changes in this form. Please save before you continue.,本表單中存在未保存的修改，請先保存。
Item cannot be added to its own descendents,本記錄不能被新增為自己的後代(下層)
No Tax Withholding data found for the current Fiscal Year.,本財年無代扣稅款資料。
Principal Amount,本金
Page Shortcuts,本頁快速訪問
Opportunities,商機
Opportunity,商機
Opp/Lead %,商機 / 線索％
Opp Count,商機數量
Opportunity Date,商機日期
Opportunity Item,商機明細
Opportunity From,商機來源
Opportunity From field is mandatory,商機來源是必填欄位
Opportunity Type,商機類型
Opportunity Amount,商機金額
Minutes to First Response for Opportunity,商機首次響應（分鐘）
Opportunities by lead source,商機（按線索來源）
Org Code,機構代碼
Institute Name,機構名稱
Organization Name,機構名稱
Institute Abbreviation,機構簡稱
Engine Oil,機油
Grocery,雜貨
Misc,雜項
Miscellaneous Expenses,雜項費用
Equity,權益
Equity/Liability Account,權益/負債科目
Criteria Weight,權重
Weightage,權重
Weightage (%),權重（％）
Permissions,權限
Permissions are automatically applied to Standard Reports and searches.,權限會自動應用於標準報表和搜索。
Restricted,權限受限
Permissions can be managed via Setup &gt; Role Permissions Manager,權限可以通過設定＆gt進行管理;角色權限管理
Authorization Field,權限控制欄位
Authorization Object,權限控制對象
Permissions get applied on Users based on what Roles they are assigned.,權限檢查基於已分派給用戶的角色。
Perm Level,權限級別
Permission Level,權限級別
Permission Levels,權限級別
Permission Rules,權限規則
Permissions Settings,權限設定
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.",權限設定基於用戶角色和單據類型，可設定的權限包括讀，寫，創建，刪除，提交，取消，修改，報表，匯入，匯出，列印，電子郵件和設定用戶權限。
Quick Help for Setting Permissions,權限設定的快速幫助
Permission Error,權限錯誤
Restrictions,權限限制清單
Material Consumption is not set in Manufacturing Settings.,生產設定中未勾選啟用工單耗用。
Condition,條件
Condition Detail,條件
Conditions,條件
The Condition '{0}' is invalid,條件“{0}”無效
Condition and Formula Help,條件與公式說明
Syntax error in condition: {0},條件中的語法錯誤：{0}
Condition and Formula,條件和公式
Conditions will be applied on all the selected items combined. ,條件將適用於所有選定物料。
Criteria Setup,條件設定
Conditions will be applied on all the selected items combined.,條件適用於所有已選擇的物料
Term Details,條款資訊
Clauses and Conditions,條款和條件
Terms and Conditions,條款和條件
Terms and Conditions1,條款和條件1
Terms and Conditions Details,條款和條件資訊
Terms and Conditions Content,條款和條件內容
Terms and Conditions Help,條款和條件幫助
Terms and Conditions Template,條款和條件模板
Template of terms or contract.,條款或契約模板。
Barcodes,條碼
barcode,條碼
Barcode,條碼
Barcode {0} is not a valid {1} code,條碼{0}不是有效的{1}代碼
Barcode {0} already used in Item {1},條碼{0}已被物料{1}使用
Barcode Type,條碼類型
Incoming,Incoming
Source,來源
Source Name,來源名稱
Source Type,來源類型
From Folio No,來自Folio No
From GSTIN,來自GSTIN
From No,來自No
From Pin Code,來自Pin Code
From {0} | {1} {2},來自{0} | {1} {2}
New message from {0},來自{0}的新消息
New Message from {0},來自{0}的新訊息
One Time Password (OTP) Registration Code from {},來自{}的一次性密碼（OTP）註冊碼
From Address 1,來自地址1
From Address 2,來自地址2
From State,來自州
The user from this field will be rewarded points,來自此欄位的用戶將獲得獎勵能量點
"From a supplier under composition scheme, Exempt and Nil rated",來自組成計劃下的供應商，免稅和零評級
Drop,鬆開滑鼠
Goa,果阿
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",某些單據，例如發票一旦進入最終狀態(即“已提交”)就不能再更改。你可以限制可以提交的角色。
Error in some rows,某些行出錯
Finding linked payments,查找關聯付款
Check Out,結帳
Checkout,結帳
View,查看
viewed,查看
View {0},查看{0}
View all issues from {0},查看{0}中的所有問題
See past quotations,查看以前的報價
See past orders,查看以前的訂單
View Task,查看任務
View General Ledger,查看會計總帳
View Chart of Accounts,查看會計科目表
View in Cart,查看你的購物車
View Permitted Documents,查看被授權單據
View All,查看全部
View List,查看列表
View Lab Tests,查看化驗
View document,查看單據
View Ref,查看參考
To view logs of Loyalty Points assigned to a Customer.,查看客戶積分。
View Timesheet,查看工時表
View All Products,查看所有產品
View a list of all the help videos,查看所有幫助影片清單
See All Articles,查看所有文章
See all open tickets,查看所有未完成客服工單
See all past reports.,查看所有過去的報表。
View Log,查看日誌
Check which Documents are readable by a User,用戶可讀單據
View Ledger,查看總帳
View Website,查看網站
View Form,查看表格
View Orders,查看訂單
View Subscribers,查看訂閱
View Comment,查看評論
View Fees Records,查看費用記錄
View call log,查看通話記錄
View attachments,查看附件
View Leads,查看（銷售）線索
Query,查詢
Query must be a SELECT,查詢必須是一個SELECT語句
Query Report,查詢報表
query-report,查詢的報表
Query Route String,查詢路徑字串
Query Options,查詢選項
Jammu and Kashmir,查謨和克什米爾
Bar,柱狀圖
Diesel,柴油
Mark as Done,標為已完成
Proposal Writing,標書製作
Price List Rate,標價
Price List Rate (Company Currency),標價（本幣）
Criteria,標準
Standard,標準
Standard Tax Exemption Amount,標準免稅額
Criteria Name,標準名稱
Basic Rate,標準售價
Standard Selling Rate,標準售價
Standard Working Hours,標準工作時長
Standard Sidebar Menu,標準工具欄菜單
Standard Print Style cannot be changed. Please duplicate to edit.,標準列印樣式無法更改。請重複編輯。
Standard Reports,標準報表
Standard Template,標準模板
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.",標準稅項模板可應用到所有採購交易中。此模板可以包含多個稅項及其他的費用項(例如“運費”，“保險費”，“處理費”等)。###需要注意的是，這裡指定的是試用於相關單據中所有物料的標準稅費率。如果某些物料的稅費率與標準稅費率不同，則您必須在“物料主資料”內的“物料稅項”內新增。####列說明1. 計算類型：-“淨總計”(即基本總額)；-“基於前一行的總計/金額”(用於累計稅費率)，選擇此項則稅費將基於前一行的總計/金額按百分比計算；-“實際”(按實際輸入)。2. 一級科目： 此稅費對應的記帳科目。3. 成本中心： 如果此稅費為收益或支出，那麼必須指定一個成本中心。4. 說明：稅費項的說明，會被用於如發票/報價的列印中。5. 稅率：稅項的比率6. 金額：稅項金額7. 總計：到這裡為止的累計8. 輸入行： 如果選擇了“基於前一行的總計/金額”，你可以選擇此稅項基於的行數(預設為前一行)。9. 稅費應用於：你可以在此部分指定此稅費影響庫存計價(即不再是總計的一部分)， 或者僅作為總計的一部分，而不單獨附加到每個物料上，或兩者。10. 新增或扣除： 新增還是扣除此稅費。
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.",標準稅項模板可應用到所有銷售交易中。此模板可以包含多個稅項及其他的開支/收益項(例如“運費”，“保險費”，“處理費”等)。###需要注意的是，這裡指定的是適用於整張單據所有物料的標準稅費率。如果某些物料的稅費率與這裡指定的標準稅費率，則您必須在“物料主資料”內的“物料稅項”內新增。####列說明1. 計算類型：-“淨總計”(即基本總額)；-“基於前一行的總計/金額”(用於累計稅費率)，選擇此項則稅費將基於前一行的總計/金額按百分比計算；-“實際”(按實際輸入)。2. 科目： 此稅費對應的記帳科目。3. 成本中心： 如果此稅費為收入或費用，那麼必須指定一個成本中心。4. 說明：稅費項的說明，會被用於如發票/報價的列印中。5. 稅率：稅項的比率6. 金額：稅項金額7. 總計：到這裡為止的累計8. 輸入行： 如果選擇了“基於前一行的總計/金額”，你可以選擇此稅項基於的行數(預設為前一行)。9. 價內稅？：勾選此項則意味著此稅項不會再單獨出現在銷售訂單物料項清單下方，此稅費率會體現在物料售價中。如果您需要向客戶提供打包價而不是詳細價格(即包含所有稅費)，此選項就會很有用。
Standard roles cannot be disabled,標準角色不能被禁用
Standard Buying,標準採購
Criteria weights must add up to 100%,標準權重合計必須為100％
Standard Selling,標準銷售
Label,標籤
Tag,標籤
Tags,標籤
Label is mandatory,標籤資訊必填
Tag Doc Category,標籤單據類別
Align Labels to the Right,標籤右對齊
Label and Type,標籤和類型
Label Help,標籤幫助
Tag Category,標籤類別
Mark as {0},標記為{0}
Mark Present,標記為出勤
Mark as Present,標記為出勤
Mark as Spam,標記為垃圾郵件
Marked As Spam,標記為垃圾郵件
Mark as Read,標記為已讀
Mark as Unread,標記為未讀
Mark Absent,標記為缺勤
Mark the field as Mandatory,標記欄位為必須項
Group Warehouses cannot be used in transactions. Please change the value of {0},標識為組的倉庫不可被用於業務交易中，請修改所選的倉庫{0}
Heading,標題
Title,標題
title,標題
Heading,標題
Header HTML,標題HTML
Title Prefix,標題前綴
Header and Description,標題和描述
Header Image,標題圖像
Title Field,標題欄位
Title field must be a valid fieldname,標題欄位必須是有效的欄位名
Titles for print templates e.g. Proforma Invoice.,標題列印模板例如形式發票。
"Show title in browser window as ""Prefix - title""",標題顯示在瀏覽器窗口中的“前綴 - 標題”
Heading Style,標題樣式
Title Case,標題案例
"Header, Breadcrumbs and Meta Tags",標題，麵包屑和元標記
Column Break,欄
Value missing,欄位值缺失
Tree,樹
Tree structures are implemented using Nested Set,樹形結構是一種多層結構
Tree Type,樹類型
Calibration,校準
School House,校區
Validate,校驗
Validate Applied Rule,校驗應用的規則
Checksum Version,校驗版本
Validate Enrolled Course for Students in Student Group,校驗班級內學生已註冊課程
Sample Retention Warehouse,樣品倉
Sample Collection,樣品收集
Sample Quantity,樣品數量
Type of Sample,樣品類型
Sample ID,樣品號
Style Settings,樣式設定
STYPE SETTINGS,樣式設定
Sample,樣本
Sample Size,樣本大小
Sanctioned,核准
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,核准金額不能大於申報額行{0}。
Core,核心
Successfully Reconciled,核銷/對帳成功
Reconcile,核銷（對帳）
Exception occurred while reconciling {0},核銷{0}時發生異常
Reconcile Entries,核銷憑證
Before reconciliation,核銷前
Reconcile this account,核銷此科目
Number of root accounts cannot be less than 4,根(一級)科目數不能少於4
Root {0} cannot be deleted,根{0}無法刪除
Root cannot be edited.,根不能被編輯。
Root Company,根公司
As per rules 42 & 43 of CGST Rules,根據CGST規則第42和43條
Select Items based on Delivery Date,根據出貨日期選擇物料
Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,根據分配給此班次的員工的“員工簽到”登記考勤。
Attendance has been marked as per employee check-ins,根據員工簽到記錄為出勤
There can be multiple tiered collection factor based on the total spent. But the conversion factor for redemption will always be same for all the tier.,根據總消費金額可以有多個分等級積分規則。但所有等級的兌換係數相同。
As per your assigned Salary Structure you cannot apply for benefits,根據您指定的薪資結構，您無法申請福利
